config,tightness,nodes,edges,base_time,base_exp,base_cost,full_time,full_norm_ms,full_exp,full_cost,full_normOK,full_UBcost,full_UBprune,noInfl_time,noInfl_exp,noInfl_cost,noInfl_normOK,noInfl_UBprune,noUB_time,noUB_exp,noUB_cost,noUB_normOK,noWA_time,noWA_exp,noWA_cost,noWA_normOK,noWA_UBprune,noNorm_time,noNorm_exp,noNorm_cost
"15x15/2res",1.2,225,978,2.85,318,4968,10.5116,9.2313,92,4968,0,-1,0,11.5181,318,4968,0,0,10.8292,92,4968,0,3.6557,92,4968,0,0,1.3119,92,4968
"15x15/2res",1.5,225,978,0.9125,23,3544,2.3607,1.651,0,3544,1,3544,1,2.3854,23,3544,1,52,2.386,22,3620,1,2.4253,0,3544,1,1,0.8527,22,3620
"15x15/2res",2,225,978,0.831,23,3544,2.2695,1.5758,0,3544,1,3544,1,2.3535,23,3544,1,58,2.3679,22,3620,1,2.1996,0,3544,1,1,0.8296,22,3620
"15x15/2res",3,225,978,0.8198,23,3544,2.1801,1.5165,0,3544,1,3544,1,2.8185,23,3544,1,58,2.4205,22,3620,1,2.3968,0,3544,1,1,0.8318,22,3620
"20x20/2res",1.2,400,1860,8.566,963,8920,20.973,13.4319,938,8920,0,-1,0,21.4188,963,8920,0,0,20.881,938,8920,0,15.0234,938,8920,0,0,10.0968,938,8920
"20x20/2res",1.5,400,1860,52.6301,5528,6638,67.1676,57.9246,934,7157,0,-1,0,106.172,5528,6638,0,0,66.5666,934,7157,0,19.0736,934,7157,0,0,7.9692,934,7157
"20x20/2res",2,400,1860,2.0327,111,5352,9.9103,8.4633,0,5352,1,5352,1,9.8506,111,5352,1,284,8.854,32,5409,1,4.6937,32,5409,0,0,1.4942,32,5409
"20x20/2res",3,400,1860,1.4957,34,5326,4.1835,2.9005,0,5326,1,5326,1,4.0352,34,5326,1,90,5.1907,32,5409,1,4.0046,0,5326,1,1,1.4284,32,5409
"25x25/2res",1.2,625,2934,5.7013,486,-1,23.2102,18.1761,492,-1,0,-1,0,23.1596,486,-1,0,0,23.1465,492,-1,0,9.2257,492,-1,0,0,4.9785,492,-1
"25x25/2res",1.5,625,2934,4.995,374,6879,7.9556,5.7193,0,6879,1,6879,1,10.6093,374,6879,1,589,26.1543,1693,9588,1,8.0462,0,6879,1,1,15.1316,1693,9588
"25x25/2res",2,625,2934,2.5603,42,6536,6.8799,4.789,0,6536,1,6536,1,6.6558,42,6536,1,122,7.9146,39,6562,1,6.5185,0,6536,1,1,2.203,39,6562
"25x25/2res",3,625,2934,2.457,42,6536,6.7514,4.436,0,6536,1,6536,1,6.8107,42,6536,1,124,6.8829,39,6562,1,6.3654,0,6536,1,1,2.1996,39,6562
