config,gridSize,numRes,tightness,nodes,edges,A_time_ms,A_expanded,A_cost,B_time_ms,B_norm_ms,B_expanded,B_UBprune,B_cost,B_normOK,B_UBcost,C_time_ms,C_expanded,C_cost,D_time_ms,D_norm_ms,D_expanded,D_UBprune,D_cost,D_normOK,D_UBcost
"15x15/2res",15,2,1.1,225,978,0.8339,22,-1,7.6501,6.7771,22,0,-1,0,-1,0.8061,23,-1,7.0492,6.2091,23,0,-1,0,-1
"15x15/2res",15,2,1.2,225,978,2.6139,318,4968,12.1558,9.3252,318,0,4968,0,-1,1.3134,92,4968,11.1135,9.69,92,0,4968,0,-1
"15x15/2res",15,2,1.5,225,978,0.9695,23,3544,2.6088,1.7172,23,52,3544,1,3544,0.9125,22,3620,2.4134,1.68,0,1,-1,1,3544
"15x15/2res",15,2,2,225,978,1.1531,23,3544,3.0367,2.1195,23,58,3544,1,3544,0.9272,22,3620,2.4132,1.6873,0,1,-1,1,3544
"15x15/2res",15,2,3,225,978,0.8795,23,3544,2.5951,1.6614,23,58,3544,1,3544,0.8851,22,3620,2.3651,1.6068,0,1,-1,1,3544
"20x20/2res",20,2,1.1,400,1860,1.525,33,-1,12.9741,11.302,33,0,-1,0,-1,1.5822,33,-1,13.0924,11.5056,33,0,-1,0,-1
"20x20/2res",20,2,1.2,400,1860,8.0047,963,8920,22.7159,14.221,963,0,8920,0,-1,7.8715,938,8920,22.4813,14.2828,938,0,8920,0,-1
"20x20/2res",20,2,1.5,400,1860,49.7138,5528,6638,105.272,52.0194,5528,0,6638,0,-1,8.3223,934,7157,58.705,50.5541,934,0,7157,0,-1
"20x20/2res",20,2,2,400,1860,2.1844,111,5352,9.8973,7.8277,111,284,5352,1,5352,1.4013,32,5409,9.2325,7.9358,0,1,-1,1,5352
"20x20/2res",20,2,3,400,1860,1.4521,34,5326,4.253,2.835,34,90,5326,1,5326,1.3894,32,5409,3.9277,2.6896,0,1,-1,1,5326
"25x25/2res",25,2,1.1,625,2934,2.4136,21,-1,21.1932,18.1502,21,0,-1,0,-1,2.0943,21,-1,20.4484,18.3019,21,0,-1,0,-1
"25x25/2res",25,2,1.2,625,2934,4.955,486,-1,23.05,18.0562,486,0,-1,0,-1,5.0384,492,-1,23.2838,18.2184,492,0,-1,0,-1
"25x25/2res",25,2,1.5,625,2934,4.5563,374,6879,10.7411,6.2644,374,589,6879,1,6879,17.2037,1693,9588,9.655,7.3093,0,1,-1,1,6879
"25x25/2res",25,2,2,625,2934,2.53,42,6536,7.1587,4.6927,42,122,6536,1,6536,2.2359,39,6562,6.2565,4.2206,0,1,-1,1,6536
"25x25/2res",25,2,3,625,2934,2.1822,42,6536,6.995,4.1777,42,124,6536,1,6536,2.3059,39,6562,6.2657,4.2619,0,1,-1,1,6536
"30x30/2res",30,2,1.1,900,4244,4.0841,106,-1,35.069,30.7732,106,0,-1,0,-1,3.741,103,-1,32.5584,28.6781,103,0,-1,0,-1
"30x30/2res",30,2,1.2,900,4244,22.0375,2594,-1,58.1199,32.3363,2594,0,-1,0,-1,21.4426,2385,-1,54.3234,33.0055,2385,0,-1,0,-1
"30x30/2res",30,2,1.5,900,4244,14.8297,1502,8168,65.2276,51.4904,1502,0,8168,0,-1,4.5073,237,9257,58.2815,53.3622,237,0,9257,0,-1
"30x30/2res",30,2,2,900,4244,3.4564,53,7712,26.6662,23.1024,53,121,7712,1,7712,3.3091,49,7828,32.9305,29.3682,0,1,-1,1,7712
"30x30/2res",30,2,3,900,4244,3.5043,50,7653,12.2314,8.0482,50,137,7653,1,7653,3.5605,50,7653,10.2674,7.0243,0,1,-1,1,7653
"20x20/2res/dense",20,2,1.1,400,2180,1.6878,37,-1,14.9478,13.2995,37,0,-1,0,-1,1.558,37,-1,14.187,12.5838,37,0,-1,0,-1
"20x20/2res/dense",20,2,1.2,400,2180,3.9904,343,6522,18.6357,14.1608,343,0,6522,0,-1,3.6887,240,6522,22.4474,18.9336,240,0,6522,0,-1
"20x20/2res/dense",20,2,1.5,400,2180,14.7624,1572,5088,48.9708,34.0018,1572,0,5088,0,-1,3.0693,221,5208,36.5909,33.5717,221,0,5208,0,-1
"20x20/2res/dense",20,2,2,400,2180,1.9663,71,4163,18.0605,16.0601,71,258,4163,1,4163,1.5813,26,4221,21.0234,18.9055,0,1,-1,1,4163
